variable,label,is_scale_variable,complete_pair_n,treated_median,control_median,paired_difference_median,paired_ratio_median,paired_sign_flip_p,matched_standardized_mean_difference
baseline_sales_oku,基準売上高（億円）,True,8,49.46174089,31.900425884999997,5.8422699399999996,1.419378393190284,0.6651667416629169,0.1640233968898178
project_cost_oku,事業費（億円）,True,28,26.0,28.0,-0.7199999999999989,0.9763171522116798,0.8693565321733914,-0.014539697318525507
subsidy_oku,補助金額（億円）,True,28,7.24,7.5,-0.08999999999999986,0.9777923849074222,0.9894005299735014,0.0021646430379337555
employees_base,基準従業員数,True,28,78.0,86.0,-2.0,0.9811320754716981,0.8182590870456478,-0.11170928181893941
jobs_increase,従業員増加数,False,28,9.0,21.5,-10.0,0.5946428571428571,9.99950002499875e-05,-0.849790330737178
jobs_increase_per_subsidy_oku,補助金1億円当たり従業員増加数,False,28,1.017094017094017,2.36016146305297,-1.0973043780298428,0.49778816928826564,0.010149492525373732,-0.6967391708616303
subsidy_share_project_cost_pct,事業費に対する補助金割合,False,28,29.027321116527176,29.651442307692307,0.7891063330440424,1.0287034865540963,0.7837608119594021,0.06023457255688174
subsidy_to_baseline_sales_pct,基準売上高に対する補助金割合,False,8,36.12166321244444,32.771806531624634,-3.0021384215055917,0.8668924194400581,0.3417829108544573,-0.4181710650256025
investment_sales_ratio_pct,事業費／基準売上高,False,8,126.7703189426164,112.95573310772366,-10.016151850724825,0.8971268138588495,0.6418679066046697,-0.37931009050013026
sales_increase_per_subsidy,補助金1億円当たり売上増加額,False,21,4.305882352941176,7.369727047146402,-1.04,0.6556291390728477,0.23018849057547122,-0.26126267227749667
payroll_increase_per_subsidy,補助金1億円当たり給与総額増加額,False,28,0.14282653937825812,0.28864961904761904,-0.09431788526714516,0.4633533486511355,0.006549672516374182,-0.646983169150339
