variable,label,is_scale_variable,core_n,other_n,core_median,other_median,core_mean,other_mean,core_to_other_median_ratio,standardized_mean_difference,mann_whitney_p
baseline_sales_oku,基準売上高（億円）,True,10,167,65.71174089,85.7,138.81834817799998,162.85113743492096,0.7667647711785297,-0.3258317702057916,0.22858057436453416
project_cost_oku,事業費（億円）,True,28,345,26.0,33.04,48.08142857142857,47.43446486956522,0.7869249394673123,-0.07836114540842806,0.4494150220778885
subsidy_oku,補助金額（億円）,True,28,345,7.24,9.3,13.612142857142857,13.295910144927536,0.7784946236559139,-0.059496644730265134,0.4310508192772424
employees_base,基準従業員数,True,28,343,78.0,135.0,135.35714285714286,217.85102040816324,0.5777777777777777,-0.43878597592250757,0.005778344877405139
jobs_increase,従業員増加数,False,28,343,9.0,24.0,11.785714285714286,39.322157434402335,0.375,-0.7045779279311196,5.022948992738918e-06
jobs_increase_per_subsidy_oku,補助金1億円当たり従業員増加数,False,28,343,1.017094017094017,2.5,1.6093998692623754,4.148355246593581,0.40683760683760684,-0.6113626738085477,0.00024860211344823746
subsidy_share_project_cost_pct,事業費に対する補助金割合,False,28,345,29.027321116527176,30.303030303030305,28.16160338493939,28.37907651860416,0.9579015968453968,-0.044447498535147595,0.3587763613081034
subsidy_to_baseline_sales_pct,基準売上高に対する補助金割合,False,10,167,36.12166321244444,12.195121951219512,33.99810274593575,57.117854108596816,2.961976383420444,-0.06988893760667145,0.016320213433834052
investment_sales_ratio_pct,事業費／基準売上高,False,10,167,126.7703189426164,42.89946777847787,126.29988114870204,212.47309758688706,2.955055750277058,-0.06910246949132878,0.0218098698737208
sales_increase_per_subsidy,補助金1億円当たり売上増加額,False,23,310,4.129662522202487,7.361334111808495,7.409561826185422,13.198897937104151,0.5609937627444453,-0.3423262467669436,0.019683783316839065
payroll_increase_per_subsidy,補助金1億円当たり給与総額増加額,False,28,343,0.14282653937825812,0.3047076923076923,0.19537823784443642,0.43286360787497147,0.4687329627177006,-0.6925051528525713,1.356127779938987e-05
