scope,round,metric_no,metric_label,observed_n,below_applicant_n,below_applicant_probability
all,2次,1,全社年平均売上高成長率,12,3,0.25
all,2次,2,全社売上高増加額,66,8,0.12121212121212122
all,2次,7,補助事業年平均労働生産性の伸び,75,36,0.48
all,2次,8,付加価値増加額（簡易補正推計）,75,14,0.18666666666666668
all,2次,9,年平均従業員1人当たり給与の伸び,75,12,0.16
all,2次,10,従業員給与支給総額の増加額（推計）,74,15,0.20270270270270271
all,2次,11,年平均役員報酬の伸び,54,15,0.2777777777777778
all,2次,13,全社売上高に対する投資額割合（近似）,59,28,0.4745762711864407
all,2次,14,補助金額に対する付加価値増加額割合（推計）,75,16,0.21333333333333335
all,1次,1,全社年平均売上高成長率,18,5,0.2777777777777778
all,1次,2,全社売上高増加額,88,9,0.10227272727272728
all,1次,7,補助事業年平均労働生産性の伸び,104,58,0.5576923076923077
all,1次,8,付加価値増加額（簡易補正推計）,98,12,0.12244897959183673
all,1次,9,年平均従業員1人当たり給与の伸び,106,18,0.16981132075471697
all,1次,10,従業員給与支給総額の増加額（推計）,99,9,0.09090909090909091
all,1次,11,年平均役員報酬の伸び,85,25,0.29411764705882354
all,1次,13,全社売上高に対する投資額割合（近似）,46,30,0.6521739130434783
all,1次,14,補助金額に対する付加価値増加額割合（推計）,98,23,0.23469387755102042
all,3次,1,全社年平均売上高成長率,20,4,0.2
all,3次,2,全社売上高増加額,96,17,0.17708333333333334
all,3次,7,補助事業年平均労働生産性の伸び,104,46,0.4423076923076923
all,3次,8,付加価値増加額（簡易補正推計）,106,30,0.2830188679245283
all,3次,9,年平均従業員1人当たり給与の伸び,106,25,0.2358490566037736
all,3次,10,従業員給与支給総額の増加額（推計）,106,34,0.32075471698113206
all,3次,11,年平均役員報酬の伸び,89,9,0.10112359550561797
all,3次,13,全社売上高に対する投資額割合（近似）,37,20,0.5405405405405406
all,3次,14,補助金額に対する付加価値増加額割合（推計）,106,32,0.3018867924528302
all,4次,1,全社年平均売上高成長率,49,22,0.4489795918367347
all,4次,2,全社売上高増加額,88,24,0.2727272727272727
all,4次,7,補助事業年平均労働生産性の伸び,92,44,0.4782608695652174
all,4次,8,付加価値増加額（簡易補正推計）,93,26,0.27956989247311825
all,4次,9,年平均従業員1人当たり給与の伸び,93,21,0.22580645161290322
all,4次,10,従業員給与支給総額の増加額（推計）,93,34,0.3655913978494624
all,4次,11,年平均役員報酬の伸び,84,25,0.2976190476190476
all,4次,13,全社売上高に対する投資額割合（近似）,36,18,0.5
all,4次,14,補助金額に対する付加価値増加額割合（推計）,93,33,0.3548387096774194
clean,2次,1,全社年平均売上高成長率,11,3,0.2727272727272727
clean,2次,2,全社売上高増加額,46,7,0.15217391304347827
clean,2次,7,補助事業年平均労働生産性の伸び,51,25,0.49019607843137253
clean,2次,8,付加価値増加額（簡易補正推計）,51,12,0.23529411764705882
clean,2次,9,年平均従業員1人当たり給与の伸び,51,11,0.21568627450980393
clean,2次,10,従業員給与支給総額の増加額（推計）,51,10,0.19607843137254902
clean,2次,11,年平均役員報酬の伸び,38,13,0.34210526315789475
clean,2次,13,全社売上高に対する投資額割合（近似）,41,18,0.43902439024390244
clean,2次,14,補助金額に対する付加価値増加額割合（推計）,51,12,0.23529411764705882
clean,1次,1,全社年平均売上高成長率,11,3,0.2727272727272727
clean,1次,2,全社売上高増加額,48,5,0.10416666666666667
clean,1次,7,補助事業年平均労働生産性の伸び,57,32,0.5614035087719298
clean,1次,8,付加価値増加額（簡易補正推計）,55,8,0.14545454545454545
clean,1次,9,年平均従業員1人当たり給与の伸び,58,9,0.15517241379310345
clean,1次,10,従業員給与支給総額の増加額（推計）,55,6,0.10909090909090909
clean,1次,11,年平均役員報酬の伸び,46,10,0.21739130434782608
clean,1次,13,全社売上高に対する投資額割合（近似）,29,20,0.6896551724137931
clean,1次,14,補助金額に対する付加価値増加額割合（推計）,55,11,0.2
clean,4次,1,全社年平均売上高成長率,33,16,0.48484848484848486
clean,4次,2,全社売上高増加額,45,12,0.26666666666666666
clean,4次,7,補助事業年平均労働生産性の伸び,49,28,0.5714285714285714
clean,4次,8,付加価値増加額（簡易補正推計）,49,16,0.32653061224489793
clean,4次,9,年平均従業員1人当たり給与の伸び,49,8,0.16326530612244897
clean,4次,10,従業員給与支給総額の増加額（推計）,49,20,0.40816326530612246
clean,4次,11,年平均役員報酬の伸び,44,13,0.29545454545454547
clean,4次,13,全社売上高に対する投資額割合（近似）,16,10,0.625
clean,4次,14,補助金額に対する付加価値増加額割合（推計）,49,18,0.3673469387755102
clean,3次,1,全社年平均売上高成長率,9,1,0.1111111111111111
clean,3次,2,全社売上高増加額,42,6,0.14285714285714285
clean,3次,7,補助事業年平均労働生産性の伸び,42,21,0.5
clean,3次,8,付加価値増加額（簡易補正推計）,43,10,0.23255813953488372
clean,3次,9,年平均従業員1人当たり給与の伸び,44,13,0.29545454545454547
clean,3次,10,従業員給与支給総額の増加額（推計）,43,8,0.18604651162790697
clean,3次,11,年平均役員報酬の伸び,35,7,0.2
clean,3次,13,全社売上高に対する投資額割合（近似）,23,13,0.5652173913043478
clean,3次,14,補助金額に対する付加価値増加額割合（推計）,43,12,0.27906976744186046
