feature_1,feature_2,core28_n_both_ge2,core28_pct_both_ge2
business_transformation,execution_finance,28,100.0
business_transformation,external_validation,28,100.0
business_transformation,policy_fit,28,100.0
business_transformation,regional_supply_chain,28,100.0
execution_finance,external_validation,28,100.0
policy_fit,execution_finance,28,100.0
policy_fit,external_validation,28,100.0
regional_supply_chain,execution_finance,28,100.0
regional_supply_chain,external_validation,28,100.0
regional_supply_chain,policy_fit,28,100.0
capacity_constraint,business_transformation,27,96.4
capacity_constraint,execution_finance,27,96.4
capacity_constraint,external_validation,27,96.4
capacity_constraint,policy_fit,27,96.4
capacity_constraint,regional_supply_chain,27,96.4
demand,business_transformation,27,96.4
demand,execution_finance,27,96.4
demand,external_validation,27,96.4
demand,policy_fit,27,96.4
demand,regional_supply_chain,27,96.4
demand,capacity_constraint,26,92.9
business_transformation,crisis_or_succession,8,28.6
crisis_or_succession,external_validation,8,28.6
demand,crisis_or_succession,8,28.6
execution_finance,crisis_or_succession,8,28.6
policy_fit,crisis_or_succession,8,28.6
regional_supply_chain,crisis_or_succession,8,28.6
capacity_constraint,crisis_or_succession,7,25.0
