case_id,company,population,application_round,financial_confirmation,regional_future_company,regional_economic_plan,partnership_declaration,eruboshi,kurumin,health_management,location_agreement_or_public_commitment,equity_or_succession_investor,other_participant_confirmed,other_participants,has_consortium_in_cases
s1_outline_77,千寿製薬株式会社,core28,1次,True,False,False,False,True,False,False,True,False,False,,False
s1_outline_63,株式会社オティックスホールディングス,core28,1次,True,True,False,True,False,False,False,False,False,True,株式会社オティックス西尾,False
s1_outline_50,株式会社松尾製作所,core28,1次,True,False,False,False,True,False,False,False,True,False,,False
s1_outline__181,株式会社ホテルニューアワジ,core28,2次,True,True,False,True,False,False,False,False,False,True,株式会社あわじ浜離宮,True
s1_outline_159,浦島観光ホテル株式会社,core28,2次,True,True,False,False,False,False,False,False,True,True,"株式会社みちのりホテルズ
株式会社丸峰観光ホテル",True
s2_outline_72,ときわ製作所株式会社,core28,3次,True,False,True,False,False,False,False,False,False,False,,False
s2_outline_205,八戸酒造株式会社,core28,3次,True,False,False,False,False,False,False,False,False,False,,False
s2_outline_95,山崎商事運輸株式会社,core28,3次,True,False,False,False,False,False,False,False,False,False,,False
s2_outline_99,株式会社シュゼット・ホールディングス,core28,3次,True,False,False,False,False,False,False,False,False,True,株式会社スタジオ・シュゼット,True
s2_outline_232,株式会社モリシタ,core28,3次,True,False,False,True,False,False,False,False,False,True,株式会社ホワイトフォックス,True
s2_outline_35,株式会社北海道ちぬやファーム,core28,3次,True,False,False,True,False,False,False,False,False,True,ちぬや冷食株式会社,True
s2_outline_19,株式会社高木製作所,core28,3次,True,False,False,False,False,False,False,False,False,True,株式会社高木運輸,True
s2_outline_24,高知食糧株式会社,core28,3次,True,False,False,False,False,False,False,False,False,False,,False
s2_outline_171,オギハラ食品株式会社,core28,4次,True,False,False,False,False,False,False,False,False,False,,False
s2_outline_192,フクビ岡山株式会社,core28,4次,True,False,False,False,False,False,False,False,False,False,,False
s2_outline_194,リバードコーポレーション株式会社,core28,4次,True,False,False,False,True,False,False,False,False,False,,False
s2_outline_210,南島酒販株式会社,core28,4次,True,True,False,False,False,False,False,False,True,False,,False
s2_outline_116,奥伊吹観光株式会社,core28,4次,True,False,False,False,False,False,False,False,False,False,,False
s2_outline_168,明和工業株式会社,core28,4次,True,True,False,False,False,False,False,False,False,True,株式会社ヨシカワ機械,True
s2_outline_159,株式会社ファーストライン,core28,4次,True,False,False,False,False,False,False,False,False,False,,False
s2_outline_137,株式会社博多屋,core28,4次,True,False,False,False,False,False,False,False,False,False,,False
s2_outline_218,株式会社エム・ケー・ケー,core28,4次,True,False,False,False,False,False,False,False,False,False,,False
s2_outline_115,株式会社コスモス食品,core28,4次,True,False,False,False,False,False,False,False,False,False,,False
s2_outline_149,株式会社サン海苔,core28,4次,True,False,False,False,False,False,False,False,False,False,,False
s2_outline_221,株式会社ニシムタ,core28,4次,True,False,False,True,False,False,False,False,False,False,,False
s2_outline_121,株式会社ヤマキ食品,core28,4次,True,False,False,False,False,False,False,False,False,False,,False
s2_outline_195,株式会社レクザム,core28,4次,True,True,False,False,False,False,False,False,False,False,,False
s2_outline_172,株式会社環境整備産業,core28,4次,True,False,False,True,False,False,False,False,False,False,,False
s1_outline__196,株式会社八立製作所,removed_after_round_correction,1次,True,False,False,False,False,False,False,False,False,False,,False
s1_outline__179,アサヒセイレン中部株式会社,removed_after_round_correction,1次,True,False,False,False,False,False,False,True,False,True,SAN株式会社,False
