candidate,label,eligible_n,raw_low_n,raw_high_n,raw_low_mean,raw_high_mean,high_minus_low_points,standardized_mean_difference,tail_auc,spearman_with_raw_competitiveness,raw_low_at_or_above_50_pct,raw_high_at_or_above_50_pct,all_iqr,eligible_for_recommendation,recommendation_objective
raw_domain_mean,生7指標・3領域平均,381,91,91,31.65995358490848,69.6822812945343,38.02232770962583,4.173624833779055,0.9990339330998672,0.8966021535096999,2.197802197802198,97.8021978021978,23.867974828800634,False,4.173624833779055
scale_adjusted_mean,規模調整・3領域平均,381,91,91,31.306252789072605,69.29732739325011,37.99107460417751,3.202937379485488,0.9830938292476754,0.8070420811598761,5.4945054945054945,91.20879120879121,26.55723704329585,True,3.202937379485488
scale_adjusted_compensatory,規模調整・補完型,381,91,91,34.17455256127019,73.03108544595717,38.856532884686985,3.2429254363111086,0.9845429295978747,0.8028662472458696,13.186813186813188,95.6043956043956,26.01993145617306,True,3.2429254363111086
context_adjusted_mean,規模＋業種地域調整・3領域平均,381,91,91,32.411947498938545,68.22041904875286,35.808471549814314,2.881648835811567,0.9742784687839633,0.7751788305555103,6.593406593406594,91.20879120879121,26.158425455748315,True,2.881648835811567
context_adjusted_compensatory,規模＋業種地域調整・補完型,381,91,91,35.29752524969385,72.1632679717477,36.86574272205385,2.926959154289773,0.9770559111218452,0.7758521649824955,14.285714285714285,95.6043956043956,27.61119771010268,True,2.926959154289773
efficiency_rate_mean,補助金効率＋率・3領域平均,381,91,91,37.26022917065149,62.2358457946459,24.975616623994405,1.784463952933058,0.8963893249607535,0.547123123934151,15.384615384615385,79.12087912087912,24.7797263783419,True,1.784463952933058
efficiency_rate_compensatory,補助金効率＋率・補完型,381,91,91,40.26574128028514,65.95536690158485,25.68962562129971,1.8149063058812172,0.8949402246105543,0.5522041218722127,23.076923076923077,84.61538461538461,24.766134734577946,True,1.8149063058812172
efficiency_scale_adjusted_mean,補助金効率＋率・規模再調整平均,381,91,91,37.318683406899794,61.91603072485083,24.597347317951034,1.570297992214086,0.8666827677816689,0.5094617597211505,17.582417582417584,75.82417582417582,26.669392588757994,True,1.570297992214086
efficiency_scale_adjusted_compensatory,補助金効率＋率・規模再調整補完型,381,91,91,40.034088857934975,65.74554320158319,25.711454343648214,1.6186834981396527,0.8716338606448496,0.521086471120995,23.076923076923077,84.61538461538461,27.66491810246351,True,1.6186834981396527
efficiency_scale_sufficiency_balanced,補助金効率＋率・規模再調整・充足型,381,91,91,69.94974374288536,91.84639093305736,21.896647190172004,1.2825914948735821,0.8346818017147688,0.4426436582474304,83.51648351648352,98.9010989010989,25.938857024162587,True,1.2825914948735821
efficiency_scale_sufficiency_top2,補助金効率＋率・規模再調整・上位2領域充足型,381,91,91,76.08799196121181,96.21453757788,20.12654561666818,1.191047553183167,0.8114961961115807,0.44632744016181636,89.01098901098901,98.9010989010989,19.892473118279568,True,1.191047553183167
